id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
401823,Furnished Downtown Studio Suite 6,304551,Kintoo,Toronto,Palmerston-Little Italy,43.66075,-79.4096,Entire home/apt,80,120,9,28-04-2024,0.06,8,223
403200,Yonge & Bloor Lakview Bedroom,195095,Urbano,Toronto,Rosedale-Moore Park,43.67176,-79.38555,Private room,90,28,5,30-06-2023,0.04,11,238
406646,1BR-Close to Don Mills & Eglinton 202,1854872,Nadarajah,Toronto,Flemingdon Park,43.72054,-79.33524,Private room,30,28,43,07-11-2023,0.33,5,136
418607,PRIVATE ROOM MIDTOWN TORONTO,2079464,Maddie,Toronto,Mount Pleasant West,43.69747,-79.39304,Private room,62,29,126,10-05-2024,0.87,1,293
429943,Super Studio in the Upper Beach,377846,Nick & Nena,Scarborough,East End-Danforth,43.68672,-79.29328,Entire home/apt,79,28,47,17-03-2024,0.32,18,253
456371,Calming Bedroom 1 - Beaches Toronto,2268652,Julie,Toronto,Woodbine Corridor,43.67549,-79.3104,Private room,35,30,21,05-05-2024,0.17,3,52
462366,Quaint Mid-Town Toronto Guestroom,2297131,Liz,Toronto,Brookhaven-Amesbury,43.7054,-79.48584,Private room,55,28,34,14-10-2022,0.24,1,88
466650,Spacious Scandinavian Style Home in King West,1039434,Juli,Toronto,Niagara,43.64322,-79.40293,Entire home/apt,279,28,73,12-05-2024,0.51,3,88
473827,Designer-inspired Toronto living,2349264,George,Toronto,Oakwood Village,43.6879,-79.43938,Entire home/apt,115,28,100,05-11-2023,0.69,1,141
495303,Your Home In Toronto,1241161,Danny,Toronto,Dovercourt-Wallace Emerson-Junction,43.66446,-79.42537,Entire home/apt,106,29,115,11-11-2019,0.81,1,90
516823,"Monthly, Cozy + Clean Studio in the Junction",533496,Eberhard,Toronto,Junction Area,43.66672,-79.47492,Entire home/apt,100,31,183,31-05-2024,1.26,2,106
517709,Bright House with Vegetable Garden,2549053,Nathalie,Toronto,Trinity-Bellwoods,43.65131,-79.4116,Entire home/apt,300,28,78,09-03-2023,0.55,1,125
526594,Small Dog friendly Apt Garden Free Park EV charger,2588098,Reiner,Toronto,Willowdale East,43.76651,-79.40411,Entire home/apt,108,28,6,01-12-2014,0.04,1,180
526705,★ High-Tech Authentic Luxurious Loft -Queen West ★,1698603,Kyle,Etobicoke,Roncesvalles,43.64264,-79.43215,Entire home/apt,369,2,73,06-01-2024,0.51,1,157
529227,Little Italy-4 bedroom house,2600229,Orsolya,Toronto,Palmerston-Little Italy,43.65836,-79.42479,Entire home/apt,295,28,18,19-08-2018,0.12,1,258
529256,Room in amazing retro modern space,2597290,Caroline,Toronto,Trinity-Bellwoods,43.65075,-79.41072,Private room,97,28,113,10-03-2020,0.77,1,365
533659,Best View in Downtown 5 Star Luxury 1+1 w/office,1019968,Roman,Toronto,Waterfront Communities-The Island,43.63953,-79.38257,Entire home/apt,256,10,182,19-05-2024,1.25,1,115
571429,Chic Upper Beach 3 Bedroom Beauty,377846,Nick & Nena,East York,East End-Danforth,43.68519,-79.29338,Entire home/apt,169,28,29,09-10-2021,0.2,18,365
573892,DOWNTOWN TORONTO LUXURY FURNISHED CORPORATE SUITE,2175675,Frank,North York,Waterfront Communities-The Island,43.64278,-79.37985,Entire home/apt,119,28,85,09-03-2024,0.59,4,324
602407,Large bedroom with private bathroom and shower,2980659,Nanou,North York,Woodbine Corridor,43.67774,-79.31352,Private room,84,28,39,10-08-2019,0.27,1,364
625877,Calming Bedroom 2 - Beaches Toronto,2268652,Julie,Toronto,Woodbine Corridor,43.67639,-79.31017,Private room,37,30,22,17-11-2023,0.18,3,29
625942,Calming Bedroom 3 - Beaches Toronto,2268652,Julie,Toronto,Woodbine Corridor,43.67739,-79.31034,Private room,40,28,9,08-10-2017,0.07,3,0
638586,Toronto Downtown near TIFF &  Convention Centre,3186285,Solange,Toronto,Waterfront Communities-The Island,43.64356,-79.3903,Entire home/apt,150,30,61,23-05-2021,0.51,1,358
643916,Basement apartment (1 bdrm) in lower Junction,574360,Yvonne,Toronto,Junction Area,43.66308,-79.47795,Entire home/apt,120,28,4,27-04-2016,0.03,1,314
654048,Large 4 Bedroom House in Toronto Private Clean,3289972,Minoo,Toronto,Morningside,43.7837,-79.20675,Entire home/apt,190,28,18,16-08-2023,0.13,1,323
666670,Super Studio in the Upper Beach II,377846,Nick & Nena,North York,East End-Danforth,43.68614,-79.29126,Entire home/apt,83,28,47,07-09-2023,0.35,18,365
670171,Refreshing High Park Apt - close to Lake / Nature,3395349,Suzanna,Toronto,High Park North,43.65627,-79.45863,Entire home/apt,95,28,0,,,1,345
702286,Beautiful Garden Apt With Porches,3604846,Wies,Toronto,High Park-Swansea,43.65374,-79.45359,Entire home/apt,150,28,18,06-08-2022,0.13,4,283
703124,Beautiful large 3 bdrm in High Park Roncesvalles,3604846,Wies,Scarborough,High Park-Swansea,43.65329,-79.45257,Entire home/apt,200,30,24,10-09-2023,0.19,4,284
703133,2 BDRM 2000SF Executive Suite,3604846,Wies,Etobicoke,High Park-Swansea,43.65563,-79.45259,Entire home/apt,180,31,4,20-04-2019,0.03,4,364
728817,Bright Victorian Home in Roncesvalles Village,3783106,Jeremy,North York,Roncesvalles,43.64147151,-79.44633446,Entire home/apt,500,5,14,25-07-2023,0.11,1,186
756619,Winchester Suite /  Large Modern Bedroom Downtown,3982898,Andrew,Scarborough,Cabbagetown-South St.James Town,43.664642,-79.371208,Private room,111,3,115,03-06-2024,0.86,3,173
762143,Hidden lakeview oasis downtown,4017316,Patricia,Toronto,Waterfront Communities-The Island,43.63708,-79.39198,Entire home/apt,135,180,5,03-06-2017,0.04,1,364
771141,Studio Loft/Walk to Eaton Center,4068231,Margaret,Toronto,Moss Park,43.65802,-79.37108,Entire home/apt,92,30,34,06-04-2024,0.25,5,239
774352,Exquisite Yorkville Residence,4085292,Sky Suites,Toronto,Church-Yonge Corridor,43.67049,-79.38457,Entire home/apt,222,28,74,21-11-2023,0.66,1,313
779670,"Haven in the City: Parking, Workspace, Perfection",4111007,Stephanie,Etobicoke,Rosedale-Moore Park,43.67716,-79.38653,Entire home/apt,440,28,1,10-05-2019,0.02,1,253
790887,Yonge & Wellesley Prime Downtown Shared Apartment,2056128,Robert,Toronto,Church-Yonge Corridor,43.66414,-79.38351,Private room,153,1,513,05-06-2024,3.84,2,63
794506,Beautiful suite in Downtown Toronto,4186011,Oron,Scarborough,Waterfront Communities-The Island,43.63996,-79.39109,Entire home/apt,293,3,143,29-04-2024,1.16,1,55
796501,Stunning modern bachelor apartment,4195876,Dale,Toronto,Casa Loma,43.68212,-79.40447,Private room,206,28,91,07-09-2020,0.7,2,365
